"country","rank2021","rank2020","pop2023"
"United States",1,1,339996563
"United Kingdom",2,2,67736802
"Germany",3,4,83294633
"Canada",4,3,38781291
"France",5,5,64756584
"Switzerland",6,6,8796669
"Japan",7,11,123294513
"Australia",8,7,26439111
"Sweden",9,8,10612086
"Netherlands",10,9,17618299
"New Zealand",11,14,5228100
"Denmark",12,10,5910913
"Norway",13,12,5474360
"Italy",14,16,58870762
"Finland",15,15,5545475
"Austria",16,13,8958960
"Spain",17,18,47519628
"Belgium",18,,11686140
"South Korea",19,22,51784059
"Ireland",20,,5056935
"Singapore",21,19,6014723
"China",22,24,1425671352
"Russia",23,21,144444359
"Israel",24,25,9174520
"Portugal",25,20,10247605
"Poland",26,23,41026067
"United Arab Emirates",27,28,9516871
"Greece",28,26,10341277
"Hungary",30,,10156239
"Turkey",31,31,85816199
"India",32,34,1428627663
"South Africa",33,32,60414495
"Argentina",34,29,45773884
"Saudi Arabia",35,46,36947025
"Brazil",36,30,216422446
"Mexico",37,36,128455567
"Malaysia",38,39,34308525
"Egypt",39,42,112716598
"Ukraine",40,38,36744634
"Qatar",41,37,2716391
"Lithuania",42,45,2718352
"Croatia",43,33,4008617
"Estonia",44,47,1322765
"Slovakia",45,44,5795199
"Thailand",46,48,71801279
"Romania",47,40,19892812
"Chile",48,35,19629590
"Bulgaria",49,43,6687717
"Latvia",50,50,1830211
"Colombia",51,49,52085168
"Belarus",52,51,9498238
"Slovenia",53,41,2119675
"Indonesia",54,55,277534122
"Philippines",55,52,117337368
"Uruguay",56,,3423108
"Morocco",57,57,37840044
"Jordan",58,53,11337052
"Vietnam",59,64,98858950
"Panama",60,56,4468087
"Costa Rica",61,54,5212173
"Oman",62,62,4644384
"Serbia",63,58,7149077
"Peru",64,59,34352719
"Azerbaijan",65,61,10412651
"Sri Lanka",66,67,21893579
"Tunisia",67,63,12458223
"Kenya",68,68,55100586
"Dominican Republic",69,60,11332972
"Lebanon",70,69,5353930
"Kazakhstan",71,70,19606633
"Uzbekistan",72,,35163944
"Ecuador",73,65,18190484
"El Salvador",74,,6364943
"Cambodia",75,,16944826
"Myanmar",76,71,54577997
"Iraq",77,,45504560
"Guatemala",78,73,18092026
