"rank","country","iq","pop2023"
1,"Japan",106.48,123294513
2,"Taiwan",106.47,23923276
3,"Singapore",105.89,6014723
4,"Hong Kong",105.37,7491609
5,"China",104.1,1425671352
6,"South Korea",102.35,51784059
7,"Belarus",101.6,9498238
8,"Finland",101.2,5545475
9,"Liechtenstein",101.07,39584
10,"Germany",100.74,83294633
11,"Netherlands",100.74,17618299
12,"Estonia",100.72,1322765
13,"Luxembourg",99.87,654768
14,"Macau",99.82,704149
15,"Cambodia",99.75,16944826
16,"Canada",99.52,38781291
17,"Australia",99.24,26439111
18,"Hungary",99.24,10156239
19,"Switzerland",99.24,8796669
20,"United Kingdom",99.12,67736802
21,"Greenland",98.89,56643
22,"North Korea",98.82,26160821
23,"Slovenia",98.6,2119675
24,"New Zealand",98.57,5228100
25,"Austria",98.38,8958960
26,"Iceland",98.26,375318
27,"Denmark",97.83,5910913
28,"Belgium",97.49,11686140
29,"United States",97.43,339996563
30,"Norway",97.13,5474360
31,"Sweden",97,10612086
32,"France",96.69,64756584
33,"Poland",96.35,41026067
34,"Slovakia",96.32,5795199
35,"Russia",96.29,144444359
36,"Lithuania",95.89,2718352
37,"Croatia",95.75,4008617
38,"Andorra",95.2,80088
39,"Ireland",95.13,5056935
40,"Czech Republic",94.92,10495295
41,"Latvia",94.79,1830211
42,"Italy",94.23,58870762
43,"Vanuatu",93.92,334506
44,"New Caledonia",93.92,292991
45,"Spain",93.9,47519628
46,"Bermuda",93.48,64069
47,"Cyprus",93.39,1260138
48,"Portugal",92.77,10247605
49,"Israel",92.43,9174520
50,"Barbados",91.6,281995
51,"Malta",91.27,535064
52,"Myanmar",91.18,54577997
53,"Mongolia",91.03,3447157
54,"Bulgaria",90.99,6687717
55,"Greece",90.77,10341277
56,"Suriname",90.29,623236
57,"Ukraine",90.07,36744634
58,"Moldova",89.98,3435931
59,"Serbia",89.6,7149077
60,"Vietnam",89.53,98858950
61,"Iraq",89.28,45504560
62,"Uzbekistan",89.01,35163944
63,"Kazakhstan",88.89,19606633
64,"Thailand",88.87,71801279
65,"Armenia",88.82,2777970
66,"Bosnia and Herzegovina",88.54,3210847
67,"Costa Rica",88.34,5212173
68,"Bhutan",87.94,787424
69,"Chile",87.89,19629590
70,"Mexico",87.73,128455567
71,"Tajikistan",87.71,10143543
72,"Uruguay",87.59,3423108
73,"Malaysia",87.58,34308525
74,"Brunei",87.58,452524
75,"Bahamas",86.99,412623
76,"Romania",86.88,19892812
77,"Turkey",86.8,85816199
78,"Argentina",86.63,45773884
79,"Sri Lanka",86.62,21893579
80,"Mauritius",86.56,1300557
81,"Turkmenistan",85.86,6516100
82,"Montenegro",85.78,626485
83,"Trinidad and Tobago",85.63,1534937
84,"Azerbaijan",84.81,10412651
85,"Georgia",84.5,3728282
86,"Turks and Caicos Islands",84.29,46062
87,"Paraguay",84.04,6861524
88,"Fiji",83.96,936375
89,"Solomon Islands",83.96,740424
90,"Samoa",83.96,225681
91,"Kiribati",83.96,133515
92,"Micronesia",83.96,115224
93,"Tonga",83.96,107773
94,"Marshall Islands",83.96,41996
95,"Cook Islands",83.96,17044
96,"Cuba",83.9,11194449
97,"Bahrain",83.6,1485509
98,"Brazil",83.38,216422446
99,"Guyana",83.23,813834
100,"Colombia",83.13,52085168
